,compound_word,split_1,split_2,split_3
140,campfire,campfire,ca mp fire,cam pf i r e
141,candytuft,candy tuft,candy tuft,candy tuft
142,cannot,cannot,can not,can no t
143,cardboard,cardboard,ca rd board,cardboard
144,carefree,carefree,ca re free,carefree
145,careless,careless,ca re less,careless
146,caretaker,caretaker,ca re taker,caretaker
147,carport,carport,car port,carp or t
148,cartwheel,cartwheel,ca rt wheel,cartwheel
149,catfish,catfish,cat fish,cat f i s h
150,catnap,catnap,cat nap,ca tn a p
151,catnip,catnip,cat nip,ca tn i p
152,chairman,chairman,ch airman,ch a i r m a n
153,chairwoman,chairwoman,ch air woman,chairwoman
154,cheapskate,cheapskate,cheap skate,cheap ska t e
155,checkerboard,checkerboard,check er board,checkerboard
156,checkmate,checkmate,check mate,check mat e
157,checkroom,checkroom,check room,check r o o m
158,checkup,checkup,check up,check u p
159,chestnut,chestnut,ch est nut,chestnut
160,chickpea,chickpea,chi ck pea,chickpea
161,childbirth,childbirth,child birth,child bi rt h
162,childcare,childcare,child care,child ca re
163,childfreeh,child free h,child free h,child free h
164,childlike,childlike,child like,child l i k e
165,childproof,childproof,child proof,child pro of
166,childrearing,child rearing,child rearing,child rearing
167,chopstick,chopstick,ch op stick,chopstick
168,classmate,classmate,cl ass mate,classmate
169,classroom,classroom,cl ass room,classroom
170,classwork,class work,cl ass work,cl as s w o r k
171,clockwise,clockwise,clock wise,clock w i s e
172,clockwork,clockwork,clock work,clock w o r k
173,clotheshorse,clothes horse,cloth es horse,clot hes horse
174,coastline,coastline,coast line,coast l i n e
175,cobweb,cobweb,cob web,cob we b
176,copycat,copycat,copy cat,copy ca t
177,coldframe,cold frame,cold frame,cold frame
178,coldhearted,cold heart ed,cold he art ed,cold hear ted
179,coldsore,cold sore,colds ore,cold so re
180,commonsense,commonsense,co mm on sense,commonsense
181,cookbook,cookbook,cook book,cook boo k
182,cookout,cookout,cook out,cook o u t
183,cooktop,cook top,coo kt op,cook to p
184,cookwear,cook wear,coo kw ear,coo kw ea r
185,copyright,copyright,copy right,copy rig ht
186,copywriter,copywriter,copy writer,copy writ er
187,corkscrew,corkscrew,cork screw,cork s c r e w
188,cornfield,cornfield,corn field,corn fie l d
189,cornflower,cornflower,corn flower,corn fl owe r
190,cornbread,cornbread,corn bread,corn b r e a d
191,corncob,corncob,corn cob,corn co b
192,corndog,corn dog,corn dog,corn dog
193,cornmeal,cornmeal,corn meal,corn me a l
194,cornstalk,cornstalk,corns talk,corn stalk
195,cottonmouth,cottonmouth,cot ton mouth,cottonmouth
196,countdown,countdown,count down,count do w n
197,counterattack,counterattack,count er attack,counterattack
198,counterbalance,counterbalance,count er balance,counterbalance
199,counterclockwise,counterclockwise,count er clockwise,counterclockwise
200,counterweight,counterweight,count er weight,counterweight
201,countryside,countryside,country side,country s i d e
202,courthouse,courthouse,court house,court ho use
203,courtyard,courtyard,court yard,court ya rd
204,cowbell,cow bell,cow be ll,cow be l l
205,cowboy,cowboy,cow boy,cow b o y
206,cowgirl,cowgirl,cow girl,cow g i r l
207,cowslip,cowslip,cow slip,cows lip
208,crabgrass,crabgrass,crab grass,crab gr ass
209,craftsman,craftsman,crafts man,crafts ma n
210,crawfish,craw fish,craw fish,craw fish
211,crossbow,crossbow,cross bow,cross b o w
212,crossroad,crossroad,cross road,cross r o a d
213,crosswalk,crosswalk,cross walk,cross w a l k
214,crossword,crossword,cross word,cross w o r d
215,crowbar,crowbar,crow bar,crow b a r
216,cubbyhole,cubbyhole,cub by hole,cub by ho l e
217,cupboard,cupboard,cup board,cup boa rd
218,cupcake,cupcake,cup cake,cup ca k e
219,cutaway,cutaway,cut away,cu ta way
220,cutback,cutback,cut back,cu tb ac k
221,cutoff,cutoff,cut off,cu to ff
222,cutthroat,cutthroat,cut throat,cut t h r o a t
223,cutup,cutup,cut up,cut u p
224,daredevil,daredevil,dare devil,dared evil
225,darkroom,darkroom,dark room,dark r o o m
226,dashboard,dashboard,dash board,dash boa rd
227,database,database,data base,data b a s e
228,daybreak,daybreak,day break,day b r e a k
229,daydream,daydream,day dream,day d r e a m
230,daylight,daylight,day light,day l i g h t
231,daytime,daytime,day time,day ti me
232,deadline,deadline,dead line,dead l i n e
233,desktop,desktop,desk top,desk to p
234,dimwit,dimwit,dim wit,dim w i t
235,dishcloth,dishcloth,dish cloth,dish clot h
236,dishwasher,dishwasher,dish was her,dish washer
237,dogcatcher,dogcatcher,dog catcher,dog cat c h e r
238,dogfish,dogfish,dog fish,dog f i s h
239,doghouse,doghouse,dog house,dog ho use
240,dogwood,dogwood,dog wood,dog woo d
241,doorbell,doorbell,do or bell,do orb e l l
242,doorknob,doorknob,do or knob,doorknob
243,doorman,doorman,do or man,doorman
244,doormat,doormat,do or mat,doormat
245,doorstep,doorstep,do or step,doorstep
246,doorstop,doors top,do or stop,doors top
247,doorway,doorway,do or way,doorway
248,doughnut,doughnut,do ugh nut,doughnut
249,downburst,down burst,down bur st,down bur s t
250,downcast,downcast,down cast,down ca st
251,downdraft,downdraft,down draft,down d r a f t
252,downfall,downfall,down fall,down fa ll
253,downhill,downhill,down hill,down hi ll
254,downhome,down home,down ho me,down ho m e
255,download,download,down load,down lo ad
256,downlink,down link,down link,down link
257,downpayment,down payment,down payment,down payment
258,downplay,downplay,down play,down pl a y
259,downpour,downpour,down pour,down p o u r
260,downrate,down rate,down rate,down rate
261,downright,downright,down right,down rig ht
262,downscale,downscale,down scale,downs cal e
263,downshift,down shift,downs hi ft,down sh if t
264,downsize,downsize,down size,downs i z e
265,downstairs,downstairs,down stairs,down st airs
266,downstream,downstream,down stream,down st ream
267,downstroke,down stroke,down stroke,down stroke
268,downthrow,down throw,down throw,down throw
269,downtown,downtown,down town,down tow n
270,downtrodden,downtrodden,down trodden,down trod den
271,downturn,downturn,down turn,down t u r n
272,downunder,down under,down under,down under
273,downward,downward,down ward,down war d
274,downwind,downwind,down wind,down win d
275,dragonfly,dragonfly,drag on fly,dragonfly
276,drainpipe,drainpipe,drain pipe,drain pip e
277,dreadnought,dreadnought,dreadnought,dreadnought
278,dressmaker,dressmaker,dress maker,dress make r
279,driftwood,driftwood,drift wood,drift woo d
280,driveway,driveway,drive way,drive w a y
281,dropout,dropout,drop out,drop o u t
282,drugstore,drugstore,drug store,drugs tore
283,drumbeat,drum beat,drum be at,drum be a t
284,drumstick,drumstick,drum stick,drums tick
285,duckbill,duckbill,duck bill,duck bi ll
286,dugout,dugout,dug out,dug o u t
287,dumbbell,dumbbell,dumb bell,dumb be ll
288,dustpan,dustpan,dust pan,dust pa n
289,duststorm,dust storm,dusts to rm,dusts to r m
290,earache,earache,ear ache,ear ac he
291,eardrum,eardrum,ear drum,ea rd rum
292,earlobe,earlobe,ear lobe,ear lo be
293,earmark,earmark,ear mark,ea rm ark
294,earmuff,earmuff,ear muff,ear mu ff
295,earphone,earphone,ear phone,ear p h o n e
296,earring,earring,ear ring,ear r i n g
297,earshot,earshot,ear shot,ear sh o t
298,earthbound,earthbound,earth bound,earth b o u n d
299,earthquake,earthquake,earth quake,earth qua k e
300,earthward,earthward,earth ward,earth war d
301,earthworm,earthworm,earth worm,earth w o r m
302,earwig,earwig,ear wig,ear w i g
303,eavesdrop,eavesdrop,eaves drop,eaves d r o p
304,eggbeater,eggbeater,egg beater,egg be ate r
305,eggcup,egg cup,egg cup,egg cup
306,egghead,egghead,egg head,egg he ad
307,eggnog,eggnog,eggnog,eggnog
308,eggplant,eggplant,egg plant,egg pl ant
309,eggroll,egg roll,egg roll,egg roll
310,eggshell,eggshell,eggs hell,egg shell
311,elsewhere,elsewhere,else where,else w h e r e
312,evergreen,evergreen,ever green,ever gr e e n
313,everlasting,everlasting,ever lasting,ever la sting
314,everybody,everybody,every body,every bod y
315,everyday,everyday,every day,ever yd a y
316,everyone,everyone,every one,ever yo n e
317,everything,everything,every thing,every thin g
318,everywhere,everywhere,every where,every w h e r e
319,eyeball,eyeball,eye ball,eye b a l l
