,compound_word,split_1,split_2,split_3
0,aftereffect,aftereffect,after effect,after eff ect
1,afternoon,afternoon,after noon,after noon
2,afterthought,afterthought,after thought,after thought
3,airbag,airbag,air bag,air bag
4,aircraft,aircraft,air craft,air craft
5,airline,airline,air line,air line
6,airplane,airplane,air plane,air plane
7,airport,airport,air port,air port
8,airtight,airtight,air tight,air tight
9,angelfish,angelfish,angel fish,ang elfish
10,another,another,ano ther,ano ther
11,anybody,anybody,any body,any body
12,anyhow,anyhow,any how,any how
13,anyone,anyone,any one,any one
14,anyplace,anyplace,any place,any place
15,anything,anything,any thing,any thing
16,anytime,anytime,any time,any time
17,anyway,anyway,any way,any way
18,anywhere,anywhere,any where,any where
19,applesauce,applesauce,apple sauce,apple sauce
20,armchair,armchair,arm chair,arm chair
21,armhole,armhole,arm hole,arm hole
22,armpit,armpit,arm pit,arm pit
23,arrowhead,arrowhead,arrow head,arrow head
24,artwork,artwork,art work,art work
25,awestruck,awestruck,awe struck,awes truck
26,backache,backache,back ache,back ache
27,backbone,backbone,back bone,back bone
28,backdrop,backdrop,back drop,back drop
29,background,background,back ground,back gro und
30,backhand,backhand,back hand,back hand
31,backhoe,backhoe,back hoe,back hoe
32,backlog,backlog,back log,back log
33,backpack,backpack,back pack,back pack
34,backspace,backspace,back space,backs pace
35,backstabbing,backstabbing,back stabbing,backs tabbing
36,backstroke,backstroke,back stroke,back str oke
37,backwater,backwater,back water,bac kwa ter
38,backwoods,backwoods,back woods,back woods
39,backyard,backyard,back yard,backy ard
40,badlands,badlands,bad lands,bad lands
41,bagpipes,bagpipes,bag pipes,bag pipes
42,ballplayer,ballplayer,ball player,ball pla yer
43,bantamweight,bantamweight,ban tam weight,ban tam weight
44,barcode,barcode,bar code,bar code
45,barefoot,barefoot,bare foot,bare foot
46,barnstorm,barnstorm,barn storm,barns torm
47,barnyard,barnyard,barn yard,barn yard
48,baseball,baseball,base ball,base ball
49,basketball,basketball,bas ket ball,bas ket ball
50,bathmat,bathmat,bath mat,bath mat
51,bathrobe,bathrobe,bath robe,bath robe
52,bathroom,bathroom,bath room,bath room
53,bathtub,bathtub,bath tub,bath tub
54,bathwater,bath water,bat hwa ter,bat hwa ter
55,battleaxe,battle axe,bat tle axe,bat tle axe
56,battlecruiser,battle cruiser,bat tle cruiser,bat tle cruiser
57,battleship,battleship,battles hip,bat tle ship
58,battlecry,battle cry,bat tle cry,bat tle cry
59,beancurd,bean curd,bean curd,bean curd
60,beachcomber,beachcomber,beach com ber,beach com ber
61,become,become,bec ome,bec ome
62,bedspread,bedspread,bed spread,bed spr ead
63,bedrock,bedrock,bed rock,bed rock
64,bedroom,bedroom,bed room,bed room
65,bedtime,bedtime,bed time,bed time
66,beehive,beehive,bee hive,bee hive
67,beekeeper,beekeeper,bee keeper,bee kee per
68,beekeeping,beekeeping,bee keeping,bee keep ing
69,beeswax,beeswax,bees wax,bees wax
70,beforehand,beforehand,bef ore hand,bef ore hand
71,bellflower,bellflower,bell flower,bell flo wer
72,bellhop,bellhop,bell hop,bell hop
73,bellyache,bellyache,belly ache,bel lya che
74,benchmark,benchmark,bench mark,bench mark
75,billboard,billboard,bill board,bill board
76,birthday,birthday,birth day,birth day
77,birthplace,birthplace,birth place,birth place
78,birthrate,birthrate,birth rate,bir thr ate
79,birthright,birthright,birth right,birth right
80,bitterroot,bitter root,bit ter root,bit ter root
81,bittersweet,bittersweet,bit ter sweet,bit ter sweet
82,blackberry,blackberry,black berry,black berry
83,blackbird,blackbird,black bird,black bird
84,blackboard,blackboard,black board,black board
85,blackout,blackout,black out,black out
86,blockbuster,blockbuster,block buster,block bus ter
87,bluebells,bluebells,blue bells,blue bells
88,bluebird,bluebird,blue bird,blue bird
89,blueberry,blueberry,blue berry,blue berry
90,bluebonnets,blue bonnets,blue bon nets,blue bonn ets
91,bobcat,bobcat,bob cat,bob cat
92,bobtail,bobtail,bob tail,bob tail
93,bodyguard,bodyguard,body guard,body guard
94,bookbinder,book binder,book bin der,book bin der
95,bookcase,bookcase,book case,book case
96,bookkeeper,bookkeeper,book keeper,book kee per
97,bookmark,bookmark,book mark,book mark
98,bookmobile,bookmobile,book mobile,book mob ile
99,bookshelf,bookshelf,book shelf,book shelf
100,bookworm,bookworm,book worm,book worm
101,bowlegged,bowlegged,bow legged,bowl egged
102,boxcar,boxcar,box car,box car
