compound_wordsplit_1split_2split_3
0aftereffectaftereffectaft er effectaft er effect
1afternoonafternoonaft er noonaft er no on
2afterthoughtafterthoughtaft er thoughtaft er thought
3airbagairbagair bagair bag
4aircraftaircraftair craftair craft
5airlineairlineair lineair line
6airplaneairplaneair planeair plane
7airportairportair portair port
8airtightairtightair tightair tight
9angelfishangelfishan gel fishan gel fish
10anotheranotheran otheran other
11anybodyanybodyany bodyany body
12anyhowanyhowany howany how
13anyoneanyoneany oneany one
14anyplaceanyplaceany placeany pl ace
15anythinganythingany thingany thing
16anytimeanytimeany timeany ti me
17anywayanywayany wayany way
18anywhereanywhereany whereany where
19applesauceapplesauceapple sauceapple sauce
20armchairarmchairarm chairarm ch air
21armholearmholearm holearm hole
22armpitarmpitarm pitarm pit
23arrowheadarrowheadarr ow headarr ow he ad
24artworkartworkart workart work
25awestruckawestruckawe struckaw es truck
26backachebackacheback acheback ac he
27backbonebackboneback boneback bone
28backdropbackdropback dropback drop
29backgroundbackgroundback groundback ground
30backhandbackhandback handback hand
31backhoebackhoeback hoeback hoe
32backlogbacklogback logback log
33backpackbackpackback packback pa ck
34backspacebackspaceback spacebacks pace
35backstabbingbackstabbingback stabbingbacks tabbing
36backstrokebackstrokeback strokeback stroke
37backwaterbackwaterback waterback water
38backwoodsbackwoodsback woodsback woods
39backyardbackyardback yardback ya rd
40badlandsbadlandsbad landsbad lands
41bagpipesbagpipesbag pipesbag pip es
42ballplayerballplayerball playerball play er
43bantamweightbantamweightban tam weightban tam weight
44barcodebar codebar codebar code
45barefootbarefootbare footbare foot
46barnstormbarnstormbarn stormbarns to rm
47barnyardbarnyardbarn yardbarn ya rd
48baseballbaseballbase ballbase ball
49basketballbasketballbasket ballbasket ball
50bathmatbathmatbath matbath mat
51bathrobebathrobebath robebath robe
52bathroombathroombath roombath room
53bathtubbathtubbath tubbath tub
54bathwaterbath waterbath waterbath water
55battleaxebattle ax ebattle ax ebattle ax e
56battlecruiserbattle cruiserbattle cruiserbattle cruiser
57battleshipbattleshipbattle shipbattles hip
58battlecrybattle crybattle crybattle cry
59beancurdbe an curdbean cu rdbean cu rd
60beachcomberbeachcomberbeach comb erbeach comb er
61becomebecomebe comebe co me
62bedspreadbedspreadbed spreadbed spread
63bedrockbedrockbed rockbed rock
64bedroombedroombed roombed room
65bedtimebedtimebed timebed ti me
66beehivebeehivebee hivebee hive
67beekeeperbeekeeperbee keeperbee keep er
68beekeepingbeekeepingbee keepingbee keeping
69beeswaxbeeswaxbe es waxbe es wax
70beforehandbeforehandbe forehandbe for eh and
71bellflowerbell flowerbe ll fl ow erbe ll fl ow er
72bellhopbellhopbe ll hopbe ll hop
73bellyachebellyachebelly achebelly ac he
74benchmarkbenchmarkbench markbench mark
75billboardbillboardbi ll boardbi ll boa rd
76birthdaybirthdaybirth daybirth day
77birthplacebirthplacebirth placebirth pl ace
78birthratebirthratebirth ratebi rt hr ate
79birthrightbirthrightbirth rightbirth rig ht
80bitterrootbitter rootbitter rootbitter root
81bittersweetbittersweetbitter sweetbitter sweet
82blackberryblackberryblack berryblack berry
83blackbirdblackbirdblack birdblack bi rd
84blackboardblackboardblack boardblack boa rd
85blackoutblackoutblack outblack out
86blockbusterblockbusterblock busterblock bu st er
87bluebellsbluebellsblue bellsblue bells
88bluebirdbluebirdblue birdblue bi rd
89blueberryblueberryblue berryblue berry
90bluebonnetsblue bonnetsblue bonnetsblue bonnets
91bobcatbobcatbob catbob cat
92bobtailbobtailbob tailbob tail
93bodyguardbodyguardbody guardbody guard
94bookbinderbook binderbook bind erbook bind er
95bookcasebookcasebook casebook case
96bookkeeperbookkeeperbook keeperbook keep er
97bookmarkbookmarkbook markboo km ark
98bookmobilebookmobilebook mobilebook mo bile
99bookshelfbookshelfbook shelfbook sh elf
100bookwormbookwormbook wormbook worm
101bowleggedbowleggedbow leggedbowl egged
102boxcarboxcarbox carbox car
103boxcutterbox cutterbox cutterbox cutter
104boxspringsbox springsbox springsbox springs
105brainstormbrainstormbra in stormbra ins to rm
106brainwashbrainwashbra in washbra in wash
107breadbasketbreadbasketbread basketbread basket
108breadboxbread boxbread boxbread box
109breadcrumbsbreadcrumbsbread crumbsbread crumbs
110breadfruitbreadfruitbread fruitbread fruit
111breadknifebread knifebread knifebread knife
112breadstickbread stickbreads tickbreads ti ck
113breakdancebreak dancebreak dancebreak dance
114breakfastbreakfastbreak fastbreak fa st
115breakfrontbreak frontbreak frontbreak front
116breakneckbreakneckbreak neckbreak neck
117breakoutbreakoutbreak outbreak out
118breakthroughbreakthroughbreak throughbreak through
119breakupbreakupbreak upbreak up
120breakwaterbreakwaterbreak waterbreak water
121breastbonebreastbonebreast bonebreast bone
122breaststrokebreaststrokebreast strokebreast stroke
123bridegroombridegroombride groombride groom
124briefcasebriefcasebrief casebrief case
125browbeatbrowbeatbrow beatbrow be at
126bucktoothedbucktoothedbu ck toothedbu ck tooth ed
127bulldogbulldogbu ll dogbu ll dog
128bulldozerbulldozerbulldozerbulldozer
129bullfrogbullfrogbu ll frogbu ll frog
130bulkheadbulkheadbulk headbulk he ad
131businessmanbusinessmanbusiness manbusiness man
132businesswomanbusinesswomanbusiness womanbusiness woman
133buttercupbuttercupbutt er cupbutt er cup
134butterfingersbutterfingersbutt er fingersbutt er fingers
135butterflybutterflybutt er flybutt er fly
136buttermilkbuttermilkbutt er milkbutte rm ilk
137buttonholebuttonholebutt on holebut ton hole
138bygonebygoneby goneby gone
139candlestickcandlestickcandle stickcandles tick
140campfirecampfireca mp firecam pf ire
141candytuftcandy tuftcandy tuftcandy tuft
142cannotcannotcan notcan not
143cardboardcardboardca rd boardca rd boa rd
144carefreecarefreeca re freeca re free
145carelesscarelessca re lessca re less
146caretakercaretakerca re takerca re taker
147carportcarportcar portcar port
148cartwheelcartwheelca rt wheelca rt wheel
149catfishcatfishcat fishcat fish
150catnapcatnapcat napcat nap
151catnipcatnipcat nipcat nip
152chairmanchairmanch airmanch air man
153chairwomanchairwomanch air womanch air woman
154cheapskatecheapskatecheap skatecheap skate
155checkerboardcheckerboardcheck er boardcheck er boa rd
156checkmatecheckmatecheck matecheck mate
157checkroomcheckroomcheck roomcheck room
