,compound_word,split_1,split_2
192,corndog,corn dog,corn dog
193,cornmeal,cornmeal,corn meal
194,cornstalk,cornstalk,corns talk
195,cottonmouth,cottonmouth,cot ton mouth
196,countdown,countdown,count down
197,counterattack,counterattack,count er attack
198,counterbalance,counterbalance,count er balance
199,counterclockwise,counterclockwise,count er clockwise
200,counterweight,counterweight,count er weight
201,countryside,countryside,country side
202,courthouse,courthouse,court house
203,courtyard,courtyard,court yard
204,cowbell,cow bell,cow be ll
205,cowboy,cowboy,cow boy
206,cowgirl,cowgirl,cow girl
207,cowslip,cowslip,cow slip
208,crabgrass,crabgrass,crab grass
209,craftsman,craftsman,crafts man
210,crawfish,craw fish,craw fish
211,crossbow,crossbow,cross bow
212,crossroad,crossroad,cross road
213,crosswalk,crosswalk,cross walk
214,crossword,crossword,cross word
215,crowbar,crowbar,crow bar
216,cubbyhole,cubbyhole,cub by hole
217,cupboard,cupboard,cup board
218,cupcake,cupcake,cup cake
219,cutaway,cutaway,cut away
220,cutback,cutback,cut back
221,cutoff,cutoff,cut off
222,cutthroat,cutthroat,cut throat
223,cutup,cutup,cut up
224,daredevil,daredevil,dare devil
225,darkroom,darkroom,dark room
226,dashboard,dashboard,dash board
227,database,database,data base
228,daybreak,daybreak,day break
229,daydream,daydream,day dream
230,daylight,daylight,day light
231,daytime,daytime,day time
232,deadline,deadline,dead line
233,desktop,desktop,desk top
234,dimwit,dimwit,dim wit
235,dishcloth,dishcloth,dish cloth
236,dishwasher,dishwasher,dish was her
237,dogcatcher,dogcatcher,dog catcher
238,dogfish,dogfish,dog fish
239,doghouse,doghouse,dog house
240,dogwood,dogwood,dog wood
241,doorbell,doorbell,do or bell
242,doorknob,doorknob,do or knob
243,doorman,doorman,do or man
244,doormat,doormat,do or mat
245,doorstep,doorstep,do or step
246,doorstop,doors top,do or stop
247,doorway,doorway,do or way
248,doughnut,doughnut,do ugh nut
249,downburst,down burst,down bur st
250,downcast,downcast,down cast
251,downdraft,downdraft,down draft
252,downfall,downfall,down fall
253,downhill,downhill,down hill
254,downhome,down home,down ho me
255,download,download,down load
256,downlink,down link,down link
257,downpayment,down payment,down payment
258,downplay,downplay,down play
259,downpour,downpour,down pour
260,downrate,down rate,down rate
261,downright,downright,down right
262,downscale,downscale,down scale
263,downshift,down shift,downs hi ft
264,downsize,downsize,down size
265,downstairs,downstairs,down stairs
266,downstream,downstream,down stream
267,downstroke,down stroke,down stroke
268,downthrow,down throw,down throw
269,downtown,downtown,down town
270,downtrodden,downtrodden,down trodden
271,downturn,downturn,down turn
272,downunder,down under,down under
273,downward,downward,down ward
274,downwind,downwind,down wind
275,dragonfly,dragonfly,drag on fly
276,drainpipe,drainpipe,drain pipe
277,dreadnought,dreadnought,dreadnought
278,dressmaker,dressmaker,dress maker
279,driftwood,driftwood,drift wood
280,driveway,driveway,drive way
281,dropout,dropout,drop out
282,drugstore,drugstore,drug store
283,drumbeat,drum beat,drum be at
284,drumstick,drumstick,drum stick
285,duckbill,duckbill,duck bill
286,dugout,dugout,dug out
287,dumbbell,dumbbell,dumb bell
288,dustpan,dustpan,dust pan
289,duststorm,dust storm,dusts to rm
290,earache,earache,ear ache
291,eardrum,eardrum,ear drum
292,earlobe,earlobe,ear lobe
293,earmark,earmark,ear mark
294,earmuff,earmuff,ear muff
295,earphone,earphone,ear phone
296,earring,earring,ear ring
297,earshot,earshot,ear shot
298,earthbound,earthbound,earth bound
299,earthquake,earthquake,earth quake
300,earthward,earthward,earth ward
301,earthworm,earthworm,earth worm
302,earwig,earwig,ear wig
303,eavesdrop,eavesdrop,eaves drop
304,eggbeater,eggbeater,egg beater
305,eggcup,egg cup,egg cup
306,egghead,egghead,egg head
307,eggnog,eggnog,eggnog
308,eggplant,eggplant,egg plant
309,eggroll,egg roll,egg roll
310,eggshell,eggshell,eggs hell
311,elsewhere,elsewhere,else where
312,evergreen,evergreen,ever green
313,everlasting,everlasting,ever lasting
314,everybody,everybody,every body
315,everyday,everyday,every day
316,everyone,everyone,every one
317,everything,everything,every thing
318,everywhere,everywhere,every where
319,eyeball,eyeball,eye ball
320,eyebrow,eyebrow,eye brow
321,eyeglasses,eyeglasses,eye glasses
322,eyelash,eyelash,eye lash
323,eyelid,eyelid,eye lid
324,eyesight,eyesight,eye sight
325,eyewitness,eyewitness,eye witness
326,fallout,fallout,fa ll out
327,fanfare,fanfare,fan fare
328,farewell,farewell,fa re well
329,farmhouse,farmhouse,fa rm house
330,farmyard,farmyard,fa rm yard
331,farsighted,farsighted,far sighted
332,fatherland,fatherland,fat her land
333,feedback,feedback,feed back
334,fiddlesticks,fiddlesticks,fiddle sticks
335,fingernail,fingernail,finger nail
336,fingerprint,fingerprint,finger print
337,fingertip,fingertip,finger tip
338,firearm,firearm,fire arm
339,fireboat,fire boat,fire boat
340,firebug,firebug,fire bug
341,firefighter,firefighter,fire fighter
342,firefly,firefly,fire fly
343,fireman,fireman,fire man
344,fireplace,fireplace,fire place
345,fireproofed,fireproofed,fire proofed
346,firewood,firewood,fire wood
347,fireworks,fireworks,fire works
348,firsthand,firsthand,fir st hand
349,fishbowl,fishbowl,fish bowl
350,fishcake,fish cake,fish cake
351,fisherman,fisherman,fish er man
352,fisherwoman,fisher woman,fish er woman
353,fisheye,fish eye,fish eye
354,fishhook,fishhook,fish hook
355,fishnet,fishnet,fish net
356,flapjacks,flapjacks,flap jacks
357,flagpole,flagpole,flag pole
358,flashlight,flashlight,fl ash light
359,flatfish,flatfish,fl at fish
360,floodlight,floodlight,flood light
361,floorboard,floorboard,floor board
362,flowerbed,flowerbed,fl ow er bed
363,flowerpot,flowerpot,fl ow er pot
364,flyby,flyby,fly by
365,flyweight,flyweight,fly weight
366,flywheel,flywheel,fly wheel
367,foghorn,foghorn,fog horn
368,folklore,folklore,folk lore
369,foolproof,foolproof,fool proof
370,football,football,foot ball
371,foothills,foothills,foot hills
372,footlights,footlights,foot lights
373,footman,footman,foot man
374,footnote,footnote,foot note
375,footprint,footprint,foot print
376,footrest,footrest,foot rest
377,footstep,footstep,foot step
378,footstool,footstool,foot stool
379,footwear,footwear,foot wear
380,forecast,forecast,fore cast
381,foreclose,foreclose,fore close
382,foreman,foreman,fore man
383,foremost,foremost,fore most
384,foreshadow,foreshadow,fore shadow
385,foresight,foresight,fore sight
386,forthwith,forthwith,forth with
387,foursquare,foursquare,four square
388,foxglove,foxglove,fox glove
389,foxhole,foxhole,fox hole
390,framework,framework,frame work
391,freeway,freeway,free way
392,freshman,freshman,fresh man
393,freshwater,freshwater,fresh water
394,frogman,frogman,frog man
395,frostbite,frostbite,fro st bite
396,fruitcake,fruitcake,fruit cake
397,frostbite,frostbite,fro st bite
398,frostbitten,frostbitten,fro st bitten
399,furthermore,furthermore,further more
400,gallbladder,gallbladder,gall bladder
401,gallstone,gallstone,gall stone
402,gearshift,gearshift,gear shift
403,gentleman,gentleman,gentle man
404,gemstone,gemstone,gem stone
405,ghostwriter,ghostwriter,ghost writer
406,gingerale,ginger ale,ginger ale
407,gingerbread,gingerbread,ginger bread
408,goalkeeper,goalkeeper,goal keeper
409,goalpost,goalpost,goal post
410,globetrotter,globetrotter,globe trotter
411,glowworm,glowworm,glow worm
412,goldenrod,goldenrod,gold en rod
413,goldfinch,goldfinch,gold finch
414,goldfish,goldfish,gold fish
415,goldmine,gold mine,gold mine
416,goldrush,gold rush,gold rush
417,goldsmith,goldsmith,gold smith
418,goodlooking,good looking,good loo king
419,goodnight,goodnight,good night
420,grandchild,grandchild,gr and child
421,granddaughter,granddaughter,gr and daughter
422,grandfather,grandfather,gr and father
423,grandma,grandma,gr and ma
424,grandmother,grandmother,gr and mother
425,grandpa,grandpa,gr and pa
426,grandparent,grandparent,gr and parent
427,grandson,grandson,grands on
428,grandstand,grandstand,gr and stand
429,grapefruit,grapefruit,gr ape fruit
430,grapevine,grapevine,gr ape vine
431,grasshopper,grasshopper,gr as shopper
432,grasslands,grasslands,gr ass lands
433,gravestone,gravestone,gr ave stone
434,graveyard,graveyard,gr ave yard
435,greenback,greenback,green back
436,greengrocer,greengrocer,green grocer
437,greenhorn,greenhorn,green horn
438,greenhouse,greenhouse,green house
